,위치,주소,전화번호,위도,경도
0,서울,서울 송파구 위례성대로22길 27-22 111,02-586-3079,37.5073473,127.1312745
1,남양주,경기 남양주시 지금동 391-84 2층 남양주사랑하는교회,031-566-3079,37.6150376,127.1614092
2,부천,"경기도 부천시 부흥로303번길 50, 한양프라자 6층 (중동 1128-2)",032) 611-3079,37.4967433,126.7761009
3,수원,경기 수원시 장안구 송원로 39 월드타워 6층 수원 사랑하는교회,031-258-3079,37.2991413,127.0067546
4,안산,경기 안산시 단원구 광덕서로 44 이노프라자 B1,031-414-3079,37.3085081,126.8271859
5,안양,경기 안양시 만안구 안양로329번길 108 안양월드 2층(정문쪽),031) 429-3072,37.40128929999999,126.9131233
6,용인,기도 용인시 처인구 금령로135 (마평동734-5) 희성빌딩 3층,031-332-3079,37.2354127,127.2114284
7,의정부,경기 의정부시 능곡로 13 ,031-855-3079 ,37.7397114,127.0579593
8,인천,인천 남동구 남동대로733번길 17 ,032) 521-1925 ,37.4477933,126.7061117
9,일산,경기도 고양시 일산서구 주엽동 136 2층 사랑하는교회,031-906-3079,37.6714756,126.7566985
10,화성,경기 화성시 향남읍 평3길 19 회춘플라자 6층,031)353-0691,37.1314198,126.9082135
11,강릉,강원도 강릉시 율곡로 2745,033-644-3079,37.7517605,128.9051511
12,경주,경북 경주시 금성로 278 연안빌딩 4층,"(054)773-3079, 070-8832-3079",35.8423129,129.2072872
13,광주,"광주 서구 상무시민로 133-9 2,3층",062)375-3079,35.1559423,126.8535421
14,구미,경북 구미시 인동26길 28 사랑하는교회 3층,054) 476-3079,36.0947935,128.427053
15,대구,대구 동구 메디밸리로 5-25 대림빌딩 4층 사랑하는교회, 053) 961-3079,35.8618831,128.6888256
16,대전,"대전 동구 대전로 742, 5층",042) 487-3079,36.3262701,127.4358016
17,목포,전남 목포시 비파로 31 인암빌딩 4층,061-282-3079,34.8015481,126.4275037
18,부산,부산 수영구 장대골로 35 사랑하는교회,051) 505-3093,35.1591163,129.1096423
19,서산,충남 서산시 인지면 무학로 1712 ,041) 668-3079,36.755588,126.427387
20,순천,전남 순천시 유동1길 29-10 (구 그랑비아또),061-722-3079 ,34.9546323,127.5181421
21,안동,경북 안동시 은행나무로 103 2층,054-841-3079,36.5683112,128.6955471
22,양산,경남 양산시 양산역로 103 6층,055-383-3079 ,35.3385114,129.0291253
23,울산,울산 중구 함월16길 69 ,052-287-3079,35.5797718,129.3120944
24,원주,강원 원주시 남원로 597  5층,033)745-3079,37.3368856,127.9500146
25,익산,전북 익산시 하나로10길 75-9 토성빌딩 3층,063-833-3079,35.9624081,126.9891128
26,전주,전북 전주시 덕진구 백제대로 820 사랑하는교회,063-275-3079,35.8481301,127.1581744
27,제주,제주특별자치도 제주시 과원북4길 5  장수한의원 4층,064-744-3079,33.481358,126.4825858
28,제천,충북 제천시 용두대로 119 2층,043-643-3079,37.1411648,128.2010486
29,창원,용지로 169번길 13 라이크빌 10층 (용호동),055-238-3079,35.2304347,128.6809395
30,천안,천안시 동남구 신촌4로 25 (3층),041-577-3079,36.7885955,127.124364
31,청주,"충북 청주시 흥덕구 복대동 2835, 호인리더스빌딩 7층",043-274-3079,36.606494,127.4901967
32,춘천,강원 춘천시 금강로 106 운교프라자 4층,033-241-3079,37.8763025,127.7309246
33,통영,경상남도 통영시 광도면 죽림2로 49-31,055-643-3079,34.8815688,128.4182461
34,평택,경기 평택시 평택로 180 3층(우측),031-654-3079,37.0010023,127.0779933
35,포항,경북 포항시 북구 장량로 254 정동빌딩 4층,054-244-3079,36.082061,129.4083161
36,뉴욕,"47-14 Glenwood St, Little Neck, NY 11362",+1-347-470-0086,40.770956,-73.732466
37,버까시,"Ktr. Pelayanan Pajak Pratama Bekasi Utara, Jl. KH. Noer Ali, Kayuringin Jaya, Bekasi, Jawa Barat 인도네시아",(주소 부정확) 62-21-8896-4296,-6.2475344,106.9800423
38,벤쿠버,"640 Clarkson St New Westminster, BC V3M 1C8",778-870-3079,49.2031645,-122.9091357
39,시드니,223 Victoria Rd.  Rydalmere. NSW  2116,0411-253-854,-33.810126,151.0302609
40,아틀란타,"3741 Venture Dr. 350, Duluth, GA 30096",404-308-9155,33.9551458,-84.13649269999999
41,오사카,Osakasi naniwagu motomachi3chome 9-24,"06-6633-3934, 090-3357-1530",34.6602337,135.4974586
42,프랑크푸르트,"Farmstraße 118, 64546, Mörfelden-Walldorf (3층)",+49 06105-717076,50.0144384,8.5848862
43,마라바,"malaba, Uganda", (대략적 위치),1.373333,32.290275
44,코초게,"kochoge, Uganda", (대략적 위치),0.7833334,34.2000008
45,음발레,"Mbale, Uganda", (대략적 위치),1.0784436,34.1810057
46,부티루,"Butiru, Uganda", (대략적 위치),0.8212320999999999,34.2949409
47,이두디,"Idudi town, Uganda", (대략적 위치),0.6248207,33.6278057
48,마나프와,"Manafwa, Uganda", (대략적 위치),0.9063599,34.28660910000001
49,부다디리,"Budadiri, Uganda", (대략적 위치),1.1711177,34.33242440000001
